"Uninsured adults ages 19–64"
"Uninsured adults"
time_period,state,population,cohort,point_estimate
2012,"North Carolina",income,"400% FPL and above",6.6
2013,"North Carolina",income,"400% FPL and above",6
2014,"North Carolina",income,"400% FPL and above",5.1
2015,"North Carolina",income,"400% FPL and above",4.5
2016,"North Carolina",income,"400% FPL and above",4.2
2017,"North Carolina",income,"400% FPL and above",4.8
2018,"North Carolina",income,"400% FPL and above",5
2019,"North Carolina",income,"400% FPL and above",5.8
2020,"North Carolina",income,"400% FPL and above",5.2
2021,"North Carolina",income,"400% FPL and above",5.5
2012,"North Dakota",income,"400% FPL and above",5.4
2013,"North Dakota",income,"400% FPL and above",3.7
2014,"North Dakota",income,"400% FPL and above",2.7
2015,"North Dakota",income,"400% FPL and above",5
2016,"North Dakota",income,"400% FPL and above",3.2
2017,"North Dakota",income,"400% FPL and above",3.2
2018,"North Dakota",income,"400% FPL and above",4.1
2019,"North Dakota",income,"400% FPL and above",4.1
2020,"North Dakota",income,"400% FPL and above",2.7
2021,"North Dakota",income,"400% FPL and above",4.7
2012,Ohio,income,"400% FPL and above",4.8
2013,Ohio,income,"400% FPL and above",5
2014,Ohio,income,"400% FPL and above",3.5
2015,Ohio,income,"400% FPL and above",3.2
2016,Ohio,income,"400% FPL and above",2.6
2017,Ohio,income,"400% FPL and above",3
2018,Ohio,income,"400% FPL and above",3.3
2019,Ohio,income,"400% FPL and above",3.8
2020,Ohio,income,"400% FPL and above",4.3
2021,Ohio,income,"400% FPL and above",3.7
2012,Oklahoma,income,"400% FPL and above",8.8
2013,Oklahoma,income,"400% FPL and above",9.1
2014,Oklahoma,income,"400% FPL and above",6.6
2015,Oklahoma,income,"400% FPL and above",7
2016,Oklahoma,income,"400% FPL and above",6.8
2017,Oklahoma,income,"400% FPL and above",8.2
2018,Oklahoma,income,"400% FPL and above",7.5
2019,Oklahoma,income,"400% FPL and above",8.5
2020,Oklahoma,income,"400% FPL and above",9.3
2021,Oklahoma,income,"400% FPL and above",8.4
2012,Oregon,income,"400% FPL and above",5.5
2013,Oregon,income,"400% FPL and above",7.1
2014,Oregon,income,"400% FPL and above",5.2
2015,Oregon,income,"400% FPL and above",3.7
2016,Oregon,income,"400% FPL and above",4.1
2017,Oregon,income,"400% FPL and above",4.1
2018,Oregon,income,"400% FPL and above",4.3
2019,Oregon,income,"400% FPL and above",4.8
2020,Oregon,income,"400% FPL and above",4.3
2021,Oregon,income,"400% FPL and above",3.5
2012,Pennsylvania,income,"400% FPL and above",4.3
2013,Pennsylvania,income,"400% FPL and above",4.4
2014,Pennsylvania,income,"400% FPL and above",3.7
2015,Pennsylvania,income,"400% FPL and above",3.1
2016,Pennsylvania,income,"400% FPL and above",2.5
2017,Pennsylvania,income,"400% FPL and above",2.9
2018,Pennsylvania,income,"400% FPL and above",3.2
2019,Pennsylvania,income,"400% FPL and above",3.6
2020,Pennsylvania,income,"400% FPL and above",3.5
2021,Pennsylvania,income,"400% FPL and above",3.5
2012,"Rhode Island",income,"400% FPL and above",5.6
2013,"Rhode Island",income,"400% FPL and above",6.2
2014,"Rhode Island",income,"400% FPL and above",5.3
2015,"Rhode Island",income,"400% FPL and above",3.1
2016,"Rhode Island",income,"400% FPL and above",2.2
2017,"Rhode Island",income,"400% FPL and above",2.5
2018,"Rhode Island",income,"400% FPL and above",2.6
2019,"Rhode Island",income,"400% FPL and above",2.7
2020,"Rhode Island",income,"400% FPL and above",2.5
2021,"Rhode Island",income,"400% FPL and above",3.1
2012,"South Carolina",income,"400% FPL and above",7.6
2013,"South Carolina",income,"400% FPL and above",7.1
2014,"South Carolina",income,"400% FPL and above",6.4
2015,"South Carolina",income,"400% FPL and above",5.1
2016,"South Carolina",income,"400% FPL and above",5.4
2017,"South Carolina",income,"400% FPL and above",5.4
2018,"South Carolina",income,"400% FPL and above",5.8
2019,"South Carolina",income,"400% FPL and above",6.4
2020,"South Carolina",income,"400% FPL and above",6.8
2021,"South Carolina",income,"400% FPL and above",6.7
2012,"South Dakota",income,"400% FPL and above",6.7
2013,"South Dakota",income,"400% FPL and above",4.4
2014,"South Dakota",income,"400% FPL and above",4.6
2015,"South Dakota",income,"400% FPL and above",4.1
2016,"South Dakota",income,"400% FPL and above",4.3
2017,"South Dakota",income,"400% FPL and above",2.8
2018,"South Dakota",income,"400% FPL and above",4.4
2019,"South Dakota",income,"400% FPL and above",5
2020,"South Dakota",income,"400% FPL and above",5.3
2021,"South Dakota",income,"400% FPL and above",4.2
2012,Tennessee,income,"400% FPL and above",6.3
2013,Tennessee,income,"400% FPL and above",5.9
2014,Tennessee,income,"400% FPL and above",5.2
2015,Tennessee,income,"400% FPL and above",4.4
2016,Tennessee,income,"400% FPL and above",4.2
2017,Tennessee,income,"400% FPL and above",5.4
2018,Tennessee,income,"400% FPL and above",5.5
2019,Tennessee,income,"400% FPL and above",5.3
2020,Tennessee,income,"400% FPL and above",5.8
2021,Tennessee,income,"400% FPL and above",5.5
2012,Texas,income,"400% FPL and above",9.8
2013,Texas,income,"400% FPL and above",9.7
2014,Texas,income,"400% FPL and above",8.2
2015,Texas,income,"400% FPL and above",7.3
2016,Texas,income,"400% FPL and above",7.4
2017,Texas,income,"400% FPL and above",8.3
2018,Texas,income,"400% FPL and above",8.8
2019,Texas,income,"400% FPL and above",9.4
2020,Texas,income,"400% FPL and above",9.7
2021,Texas,income,"400% FPL and above",9.7
2012,Utah,income,"400% FPL and above",6.2
2013,Utah,income,"400% FPL and above",6.8
2014,Utah,income,"400% FPL and above",5.8
2015,Utah,income,"400% FPL and above",4.6
2016,Utah,income,"400% FPL and above",4.5
2017,Utah,income,"400% FPL and above",4.6
2018,Utah,income,"400% FPL and above",5.5
2019,Utah,income,"400% FPL and above",4.9
2020,Utah,income,"400% FPL and above",5.3
2021,Utah,income,"400% FPL and above",5.1
2012,Vermont,income,"400% FPL and above",2.8
2013,Vermont,income,"400% FPL and above",5.8
2014,Vermont,income,"400% FPL and above",3.5
2015,Vermont,income,"400% FPL and above",3
2016,Vermont,income,"400% FPL and above",2.8
2017,Vermont,income,"400% FPL and above",4.6
2018,Vermont,income,"400% FPL and above",2.3
2019,Vermont,income,"400% FPL and above",3.7
2020,Vermont,income,"400% FPL and above",3.6
2021,Vermont,income,"400% FPL and above",2.3
2012,Virginia,income,"400% FPL and above",5.2
2013,Virginia,income,"400% FPL and above",5.7
2014,Virginia,income,"400% FPL and above",5
2015,Virginia,income,"400% FPL and above",4.5
2016,Virginia,income,"400% FPL and above",3.8
2017,Virginia,income,"400% FPL and above",4.2
2018,Virginia,income,"400% FPL and above",4.3
2019,Virginia,income,"400% FPL and above",4.4
2020,Virginia,income,"400% FPL and above",4.8
2021,Virginia,income,"400% FPL and above",4.1
2012,Washington,income,"400% FPL and above",6.4
2013,Washington,income,"400% FPL and above",6.7
2014,Washington,income,"400% FPL and above",4.4
2015,Washington,income,"400% FPL and above",3.3
2016,Washington,income,"400% FPL and above",2.8
2017,Washington,income,"400% FPL and above",3.6
2018,Washington,income,"400% FPL and above",4.1
2019,Washington,income,"400% FPL and above",3.6
2020,Washington,income,"400% FPL and above",4.3
2021,Washington,income,"400% FPL and above",4.3
2012,"West Virginia",income,"400% FPL and above",6
2013,"West Virginia",income,"400% FPL and above",6.5
2014,"West Virginia",income,"400% FPL and above",5.1
2015,"West Virginia",income,"400% FPL and above",4.4
2016,"West Virginia",income,"400% FPL and above",3.3
2017,"West Virginia",income,"400% FPL and above",4.5
2018,"West Virginia",income,"400% FPL and above",4.1
2019,"West Virginia",income,"400% FPL and above",4.5
2020,"West Virginia",income,"400% FPL and above",5.6
2021,"West Virginia",income,"400% FPL and above",3.8
2012,Wisconsin,income,"400% FPL and above",4
2013,Wisconsin,income,"400% FPL and above",4.1
2014,Wisconsin,income,"400% FPL and above",2.7
2015,Wisconsin,income,"400% FPL and above",2.6
2016,Wisconsin,income,"400% FPL and above",2.6
2017,Wisconsin,income,"400% FPL and above",2.1
2018,Wisconsin,income,"400% FPL and above",3.1
2019,Wisconsin,income,"400% FPL and above",3.2
2020,Wisconsin,income,"400% FPL and above",2.9
2021,Wisconsin,income,"400% FPL and above",3.4
2012,Wyoming,income,"400% FPL and above",10.5
2013,Wyoming,income,"400% FPL and above",8.2
2014,Wyoming,income,"400% FPL and above",7
2015,Wyoming,income,"400% FPL and above",6.2
2016,Wyoming,income,"400% FPL and above",6.4
2017,Wyoming,income,"400% FPL and above",7.5
2018,Wyoming,income,"400% FPL and above",6
2019,Wyoming,income,"400% FPL and above",7.9
2020,Wyoming,income,"400% FPL and above",7
2021,Wyoming,income,"400% FPL and above",7.7
